"","day(Days)","TotalCount"
"1",1,23.8947368421053
"2",2,25.5454545454545
"3",3,29.1071428571429
"4",4,28.8846153846154
"5",5,32.2592592592593
"6",6,26.8275862068966
"7",7,27.7857142857143
"8",8,22.5416666666667
"9",9,23.1
"10",10,27.3928571428571
"11",11,25.8214285714286
"12",12,28.2258064516129
"13",13,27.7096774193548
"14",14,28.7407407407407
"15",15,21.9166666666667
"16",16,24.5789473684211
"17",17,26.2307692307692
"18",18,29.4411764705882
"19",19,27.56
"20",20,31.8846153846154
"21",21,24.9285714285714
"22",22,27.4210526315789
"23",23,38.8666666666667
"24",24,30.5925925925926
"25",25,25.9375
"26",26,27.3214285714286
"27",27,28.9310344827586
"28",28,26.52
"29",29,NA
"30",30,NA
